p0,T,Iter,Tau,MDD
4,240,0,0.2,-3177.468112307273
4,240,0,0.4,-3201.354275457282
4,240,0,0.6,-3236.0579333022624
4,240,0,0.8,-3269.25167639748
4,240,1,0.2,-3136.6240316238627
4,240,1,0.4,-3154.850185233261
4,240,1,0.6,-3186.3352099272206
4,240,1,0.8,-3217.9718919419147
4,240,2,0.2,-3144.794557536764
4,240,2,0.4,-3169.548409343096
4,240,2,0.6,-3203.8123593658684
4,240,2,0.8,-3236.4708700410038
4,240,3,0.2,-3202.660698540495
4,240,3,0.4,-3223.792344765076
4,240,3,0.6,-3258.607350794946
4,240,3,0.8,-3292.53118166272
4,240,4,0.2,-3209.807531994131
4,240,4,0.4,-3235.6066469807884
4,240,4,0.6,-3271.4088638017856
4,240,4,0.8,-3305.479724544973
4,240,5,0.2,-3202.400457677128
4,240,5,0.4,-3223.436182900353
4,240,5,0.6,-3258.455854056215
4,240,5,0.8,-3292.287140954387
4,240,6,0.2,-3131.40256816262
4,240,6,0.4,-3156.783047340361
4,240,6,0.6,-3193.4223224477946
4,240,6,0.8,-3228.2834019287284
4,240,7,0.2,-3169.1987167686284
4,240,7,0.4,-3198.0640764177115
4,240,7,0.6,-3235.471747962468
4,240,7,0.8,-3270.673006333195
4,240,8,0.2,-3128.4678392167643
4,240,8,0.4,-3151.8231042254947
4,240,8,0.6,-3186.215706947956
4,240,8,0.8,-3219.511495273579
4,240,9,0.2,-3210.7886312462315
4,240,9,0.4,-3234.1134018944995
4,240,9,0.6,-3269.341323965402
4,240,9,0.8,-3303.0800392604497
4,240,10,0.2,-3190.0755989317777
4,240,10,0.4,-3218.6356800128106
4,240,10,0.6,-3255.2266911990546
4,240,10,0.8,-3289.517906353826
4,240,11,0.2,-3153.7545914774137
4,240,11,0.4,-3177.335282475539
4,240,11,0.6,-3211.472088635731
4,240,11,0.8,-3244.0768104078115
4,240,12,0.2,-3159.2644865348675
4,240,12,0.4,-3179.549463526203
4,240,12,0.6,-3213.3288104927715
4,240,12,0.8,-3246.3034237582106
